tokens,time- exitRight,time- exitLeft
1,2.9619,3.3781
2,3.3289,3.5245
3,4.3542,4.7847
4,5.8097,5.4852
5,7.0506,8.2135
6,7.7589,8.7493
7,8.1476,8.9433
8,8.647,9.3026
9,8.9252,10.099
10,9.9779,11.4114
11,10.7621,12.3805
12,12.022,14.0642
13,12.4343,14.076
14,13.8158,14.1574
15,16.765,16.8633
16,17.4888,17.2064
17,21.1514,19.8413
18,22.481,19.9295
19,26.706,20.4782
20,28.5991,20.5718
21,30.23,20.7205
22,30.4619,20.7524
23,31.2406,23.6478
24,31.3021,23.9376
25,31.8951,24.1681
26,32.7525,24.2934
27,35.6629,24.6788
28,36.0016,24.9423
29,36.649,25.8299
30,37.8131,28.947
31,39.1532,29.5793
32,46.022,30.5529
33,47.8232,32.7247
34,47.9601,33.0512
35,48.7834,33.8302
36,49.6523,40.7413
37,54.1346,45.5022
38,55.3062,45.8444
39,59.8108,47.4387
40,60.1008,50.0421
41,63.1539,52.9392
42,63.2008,53.1737
43,65.7814,58.927
44,70.4446,68.3864
45,72.138,68.9696
46,72.3465,69.6351
47,74.55,73.0828
48,79.4428,80.7111
49,80.8654,82.7359
50,82.9453,85.5732
51,84.9815,86.1333
52,90.6249,87.0605
53,98.8312,89.9138
54,99.2076,104.1874
55,101.5266,107.3014
56,104.2851,107.7483
57,105.9761,112.2293
58,106.5923,112.6519
59,108.6963,115.8797
60,109.1554,116.9223
61,111.3427,119.4335
62,111.9734,119.724
63,115.7029,120.2857
64,116.7638,124.0222
65,118.1896,131.1778
66,121.9707,131.2335
67,124.8428,132.9457
68,135.634,134.593
69,139.6061,135.6813
70,147.4835,135.7244
71,158.8318,137.3479
72,159.8952,141.8638
73,163.0757,142.6798
74,167.3255,149.0051
75,171.9855,152.9697
76,173.7014,153.7808
77,174.327,157.9655
78,177.2932,158.4352
79,179.7887,163.8797
80,180.4792,166.127
81,182.6438,172.541
82,183.0133,173.4346
83,192.6692,181.1258
84,193.0471,186.9073
85,198.7518,190.8106
86,199.8258,190.9942
87,199.9828,201.2653
88,200.4083,201.5611
89,203.9313,204.9679
90,205.633,208.199
91,206.5557,212.3434
92,211.2923,220.1627
93,213.6868,225.0525
94,215.3548,227.7839
95,215.4551,229.7435
96,216.0948,234.2041
97,225.8704,235.4642
98,229.6565,236.3651
99,229.9371,238.1753
100,231.5556,238.5327
101,232.3335,238.7066
102,240.766,240.9933
103,245.6393,246.325
104,245.8248,250.5217
105,256.3803,251.8589
106,257.7175,253.8725
107,258.1887,256.0603
108,266.2534,259.949
109,267.592,264.1385
110,271.5856,265.2054
111,273.8039,267.9305
112,274.0349,273.9625
113,274.2383,274.7656
114,278.9675,274.7839
115,281.3899,275.2637
116,289.4216,276.1407
117,290.5128,282.15
118,298.0428,283.7513
119,299.9061,285.3759
120,301.2409,
121,308.0651,
122,308.9529,
123,312.2943,
124,313.124,
125,315.4026,
126,315.4275,
127,319.6098,
128,323.1688,
129,326.0791,
